trial,pass,review,reject,total_windows,pass_fraction,review_fraction,reject_fraction,unrecoverable_integrity_error,exclude_primary,exclusion_reason,include_ablation,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status
1,12,17,0,29,0.41379310344827586,0.5862068965517241,0.0,False,False,,True,neutral_1.mp4,4.9,6.06,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
2,7,22,0,29,0.2413793103448276,0.7586206896551724,0.0,False,True,pass_fraction_lt_0.30,True,1.mp4,3.03,6.08,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
3,11,16,2,29,0.3793103448275862,0.5517241379310345,0.06896551724137931,False,False,,True,13.m4v,7.95,5.96,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
4,2,25,2,29,0.06896551724137931,0.8620689655172413,0.06896551724137931,False,True,pass_fraction_lt_0.30,True,9.m4v,8.9,8.76,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
5,9,17,3,29,0.3103448275862069,0.5862068965517241,0.10344827586206896,False,False,,True,5.mp4,2.07,7.33,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
6,5,23,1,29,0.1724137931034483,0.7931034482758621,0.034482758620689655,False,True,pass_fraction_lt_0.30,True,neutral_2.mp4,4.04,6.04,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
7,11,18,0,29,0.3793103448275862,0.6206896551724138,0.0,False,False,,True,15.mp4,3.61,5.93,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
8,13,16,0,29,0.4482758620689655,0.5517241379310345,0.0,False,False,,True,23.mp4,8.97,6.77,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
9,8,21,0,29,0.27586206896551724,0.7241379310344828,0.0,False,True,pass_fraction_lt_0.30,True,8.m4v,6.81,6.83,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
10,10,19,0,29,0.3448275862068966,0.6551724137931034,0.0,False,False,,True,4.mp4,2.24,5.23,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
11,16,13,0,29,0.5517241379310345,0.4482758620689655,0.0,False,False,,True,7.mp4,2.09,4.9,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
