trial,pass,review,reject,total_windows,pass_fraction,review_fraction,reject_fraction,unrecoverable_integrity_error,exclude_primary,exclusion_reason,include_ablation,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status
1,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,False,False,,True,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
2,21,5,3,29,0.7241379310344828,0.1724137931034483,0.10344827586206896,False,False,,True,12.m4v,9.0,9.0,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
3,20,9,0,29,0.6896551724137931,0.3103448275862069,0.0,False,False,,True,8.m4v,7.01,6.0,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
4,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,False,False,,True,4.mp4,1.05,7.1,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
5,27,2,0,29,0.9310344827586207,0.06896551724137931,0.0,False,False,,True,15.mp4,1.0,7.95,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
6,17,12,0,29,0.5862068965517241,0.41379310344827586,0.0,False,False,,True,17.mp4,4.42,7.53,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
7,22,7,0,29,0.7586206896551724,0.2413793103448276,0.0,False,False,,True,16.mp4,1.0,8.03,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
8,18,11,0,29,0.6206896551724138,0.3793103448275862,0.0,False,False,,True,neutral_2.mp4,6.06,7.01,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
9,18,9,2,29,0.6206896551724138,0.3103448275862069,0.06896551724137931,False,False,,True,7.mp4,3.07,6.87,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
10,14,13,2,29,0.4827586206896552,0.4482758620689655,0.06896551724137931,False,False,,True,2.m4v,1.0,9.0,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
11,7,16,6,29,0.2413793103448276,0.5517241379310345,0.20689655172413793,False,True,pass_fraction_lt_0.30;reject_fraction_ge_0.20,True,24.mp4,1.0,8.86,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
