subject,trial,window_index,start_seconds,end_seconds,samples,status,issues,max_abs_uv,max_peak_to_peak_uv,over_200uv_fraction,flat_channels,variance_outlier_channels,source_path,exclude_primary,exclusion_reason,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status,include_primary,include_pass_review_ablation,retain_for_analysis,include_excluded_trial_ablation,include_primary_valence_binary,include_primary_arousal_binary,include_primary_quadrant,primary_exclusion_reason,split_group
sub-mit003,1,1,0.0,4.0,1000,pass,,383.82775781999055,458.4051807274038,0.0002578125,0,3,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,2,2.0,6.0,1000,pass,,54.72309098732576,89.13730598832885,0.0,0,2,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,3,4.0,8.0,1000,pass,,52.431629048531065,89.13730598832885,0.0,0,1,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,4,6.0,10.0,1000,pass,,44.849063760058016,75.58436756124301,0.0,0,0,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,5,8.0,12.0,1000,pass,,52.044826376167805,102.07346699692796,0.0,0,1,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,6,10.0,14.0,1000,pass,,52.044826376167805,102.07346699692796,0.0,0,2,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,7,12.0,16.0,1000,pass,,64.28138716680667,91.39236045651234,0.0,0,2,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,8,14.0,18.0,1000,pass,,456.7348621281053,506.39854303299,0.00059375,0,2,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,9,16.0,20.0,1000,pass,,456.7348621281053,497.9449908082394,0.00059375,0,2,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
sub-mit003,1,10,18.0,22.0,1000,pass,,46.01420200174523,77.42929820538873,0.0,0,1,data/processed/sub-mit003/trials/sub-mit003_trial-01_eeg.fif,False,,neutral_1.mp4,8.97,7.95,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold,True,True,True,False,True,True,True,,sub-mit003_trial-01
