trial,pass,review,reject,total_windows,pass_fraction,review_fraction,reject_fraction,unrecoverable_integrity_error,exclude_primary,exclusion_reason,include_ablation,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status
1,20,7,2,29,0.6896551724137931,0.2413793103448276,0.06896551724137931,False,False,,True,neutral_1.mp4,5.08,2.97,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
2,27,2,0,29,0.9310344827586207,0.06896551724137931,0.0,False,False,,True,4.mp4,3.17,2.94,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
3,20,7,2,29,0.6896551724137931,0.2413793103448276,0.06896551724137931,False,False,,True,9.m4v,6.95,7.7,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
4,23,4,2,29,0.7931034482758621,0.13793103448275862,0.06896551724137931,False,False,,True,8.m4v,7.01,7.16,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
5,15,14,0,29,0.5172413793103449,0.4827586206896552,0.0,False,False,,True,17.mp4,6.95,6.49,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
6,18,9,2,29,0.6206896551724138,0.3103448275862069,0.06896551724137931,False,False,,True,13.m4v,7.1,5.58,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
7,9,13,7,29,0.3103448275862069,0.4482758620689655,0.2413793103448276,False,True,reject_fraction_ge_0.20,True,3.mp4,6.99,2.94,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
8,16,10,3,29,0.5517241379310345,0.3448275862068966,0.10344827586206896,False,False,,True,12.m4v,9.0,7.06,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
9,12,13,4,29,0.41379310344827586,0.4482758620689655,0.13793103448275862,False,False,,True,neutral_2.mp4,5.04,2.94,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
10,19,6,4,29,0.6551724137931034,0.20689655172413793,0.13793103448275862,False,False,,True,5.mp4,1.93,3.19,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
11,26,3,0,29,0.896551724137931,0.10344827586206896,0.0,False,False,,True,1.mp4,5.0,6.77,ambiguous,high,ambiguous,False,True,False,self_report,derive_inside_training_fold
