trial,pass,review,reject,total_windows,pass_fraction,review_fraction,reject_fraction,unrecoverable_integrity_error,exclude_primary,exclusion_reason,include_ablation,stimulus,valence,arousal,valence_label_fixed5,arousal_label_fixed5,quadrant_label_fixed5,valence_binary_eligible_fixed5,arousal_binary_eligible_fixed5,quadrant_label_eligible_fixed5,label_source,subject_relative_label_status
1,3,23,3,29,0.10344827586206896,0.7931034482758621,0.10344827586206896,False,True,pass_fraction_lt_0.30,True,neutral_1.mp4,8.97,1.01,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
2,6,19,4,29,0.20689655172413793,0.6551724137931034,0.13793103448275862,False,True,pass_fraction_lt_0.30,True,13.m4v,8.92,4.73,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
3,5,24,0,29,0.1724137931034483,0.8275862068965517,0.0,False,True,pass_fraction_lt_0.30,True,16.mp4,1.06,2.97,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
4,0,29,0,29,0.0,1.0,0.0,False,True,pass_fraction_lt_0.30,True,27.mp4,1.01,1.03,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
5,2,25,2,29,0.06896551724137931,0.8620689655172413,0.06896551724137931,False,True,pass_fraction_lt_0.30,True,15.mp4,1.03,9.0,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
6,7,22,0,29,0.2413793103448276,0.7586206896551724,0.0,False,True,pass_fraction_lt_0.30,True,5.mp4,1.03,1.06,low,low,LVLA,True,True,True,self_report,derive_inside_training_fold
7,3,26,0,29,0.10344827586206896,0.896551724137931,0.0,False,True,pass_fraction_lt_0.30,True,neutral_2.mp4,7.03,3.07,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
8,9,15,5,29,0.3103448275862069,0.5172413793103449,0.1724137931034483,False,False,,True,1.mp4,1.05,6.04,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
9,4,22,3,29,0.13793103448275862,0.7586206896551724,0.10344827586206896,False,True,pass_fraction_lt_0.30,True,3.mp4,8.99,1.1,high,low,HVLA,True,True,True,self_report,derive_inside_training_fold
10,2,27,0,29,0.06896551724137931,0.9310344827586207,0.0,False,True,pass_fraction_lt_0.30,True,12.m4v,8.97,8.9,high,high,HVHA,True,True,True,self_report,derive_inside_training_fold
11,5,22,2,29,0.1724137931034483,0.7586206896551724,0.06896551724137931,False,True,pass_fraction_lt_0.30,True,24.mp4,1.0,7.72,low,high,LVHA,True,True,True,self_report,derive_inside_training_fold
